,genre_ids,ids,popularity,release_date,title,vote_average
0,878,421359,1.030704,2016-12-04,Alice and the Last Lottery,10.0
1,18,421374,1.023366,2016-09-30,Bliss,10.0
2,10402,421959,1.146234,2016-09-01,Babymetal Trilogy - Metal Resistance Episode III - Apocalypse,10.0
3,10749,422384,1.043027,2016-11-03,Verdad o reto,10.0
4,35,413192,1.012997,2016-08-24,Camp for the Broken-Hearted,10.0
5,99,422562,1.022635,2016-10-23,Calabria,10.0
6,10751,419645,1.047082,2016-09-07,Lost in the Moonlight,10.0
7,10751,423550,1.023246,2016-04-01,Matt Pokora : RED Tour,10.0
8,18,422092,1.012083,2016-06-08,Unwritten,10.0
9,35,421804,1.059076,2016-08-28,Buppha Rahtree: A Haunting in Japan,10.0
10,99,425922,1.020022,2016-10-03,City of Refuge,10.0
11,10402,423280,1.02351,2016-10-22,Madness: Live From House Of Common,10.0
12,99,429529,1.031746,2016-12-07,Homeopatia,10.0
13,28,429138,1.007155,2016-04-16,Nulllinie,10.0
14,99,411012,1.079933,2016-09-09,Chasing Trane: The John Coltrane Documentary,10.0
15,0,412211,1.012198,2016-09-18,The Wedding Ring,10.0
16,878,401294,1.15062,2016-06-04,Virtual Revolution,10.0
17,0,414564,1.01425,2016-06-13,The Guide,10.0
18,0,414576,1.006017,2016-03-03,Chronicle of Chronic Pain,10.0
19,0,412875,1.013835,2016-10-07,While We Live,10.0
20,0,395347,1.007013,2016-04-28,Unlucky,10.0
21,35,390943,1.006609,2016-01-16,"Something Like, Something Like It",10.0
22,10751,396017,1.01524,2016-02-02,The New Adventures of Peter Pan: Fairy Friendship,10.0
23,35,390991,1.010744,2016-03-18,Frankie Boyle: Hurt Like You've Never Been Loved,10.0
24,99,390191,1.007413,2016-03-30,Power Line,10.0
25,99,396175,1.013056,2016-05-16,The Lives of Thérèse,10.0
26,99,392657,1.00696,2016-04-07,Yorimatã,10.0
27,0,385071,1.0068,2016-02-26,The Legacy of Arrow Development,10.0
28,10402,394433,1.079288,2016-04-24,The Odyssey,10.0
29,0,386238,1.015703,2016-03-03,National Theatre Live: Hangmen,10.0
30,35,377517,1.034437,2016-01-20,Red Top,10.0
31,10749,376847,1.110001,2016-01-07,Remember You,10.0
32,99,380540,1.006283,2016-01-22,Another Kind of Girl,10.0
33,99,375573,1.144921,2016-09-01,Chasing Great,10.0
34,27,283256,1.208448,2016-06-24,Hunters,10.0
35,35,327946,1.164819,2016-08-05,$elfie Shootout,10.0
36,28,346578,1.010397,2016-01-28,Wonder Woman: Molded from Clay,10.0
37,18,409361,1.097887,2016-04-23,Candiland,10.0
38,0,408545,1.011805,2016-09-01,Miraculous Spiral,10.0
39,53,408567,1.501664,2016-07-26,Deadly Pickup,10.0
40,99,410522,1.013678,2016-08-01,Talking to the Air: The Horses of the Last Forbidden Kingdom,10.0
41,9648,397699,1.025526,2016-05-06,Blindness in Fate,10.0
42,18,409412,1.011057,2016-04-29,L'Appel,10.0
43,53,403514,1.014096,2016-07-01,San'75 Pachattar,10.0
44,12,411754,1.022918,2016-08-17,Diarios de Viaje,10.0
45,18,404772,1.075648,2016-07-05,Sabtu Bersama Bapak,10.0
46,0,412211,1.012198,2016-09-18,The Wedding Ring,10.0
47,878,401294,1.15062,2016-06-04,Virtual Revolution,10.0
48,0,414564,1.01425,2016-06-13,The Guide,10.0
49,0,414576,1.006017,2016-03-03,Chronicle of Chronic Pain,10.0
50,28,414222,1.020109,2016-08-29,ZG80,10.0
51,0,414840,1.022415,2016-09-27,Gratis,10.0
52,0,389231,1.017684,2016-03-25,Ambarsariya,10.0
53,12,389811,1.021437,2016-03-19,66 & Nowhere,10.0
54,35,400423,1.007004,2016-04-26,Gedesoriënteerde man komt boekhandel/café/slaapkamer binnen,10.0
55,18,396389,1.06132,2016-05-06,One Night Stand,10.0
56,99,402241,1.0123,2016-06-13,In Bloom,10.0
57,99,404503,1.032775,2016-06-03,Free CeCe,10.0
58,35,394078,1.00985,2016-04-22,Santa Banta Pvt Ltd,10.0
59,35,405243,1.027696,2016-07-07,Kill Phil,10.0
60,35,398301,1.007331,2016-05-13,Chosen,10.0
61,10749,399218,1.064313,2016-06-26,Whisky Galore,10.0
62,35,399812,1.077186,2016-05-14,Le Plus Beau Jour,10.0
63,27,389849,1.030797,2016-07-28,The Devil Lives Here,10.0
64,10751,402109,1.157403,2016-06-10,Godhi Banna Sadharana Mykattu,10.0
65,12,399686,1.007434,2016-05-16,Dragón,10.0
66,18,390446,1.006606,2016-04-08,Jessica,10.0
67,16,401043,1.123047,2016-09-03,Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,10.0
68,35,396345,1.033534,2016-04-01,Malcriados,10.0
69,18,402206,1.008345,2016-06-12,Embedded,10.0
70,18,404590,1.009299,2016-07-01,The Dog Shooter,10.0
71,0,398734,1.006154,2016-03-12,Double Negative,10.0
72,0,398735,1.007044,2016-05-01,Fetish,10.0
73,14,404663,1.039973,2016-04-23,Nova Seed,10.0
74,10402,405224,1.102836,2016-06-26,Coldplay: Live at Glastonbury 2016,10.0
75,27,399398,1.00817,2016-04-24,Drunk,10.0
76,53,394697,1.008427,2016-06-02,Blood Stripe,10.0
77,16,406776,1.014774,2016-06-13,"Satie's ""Parade""",10.0
78,0,408176,1.021915,2016-07-26,What's Eating Todd?,10.0
79,35,406477,1.017172,2016-07-14,Roulette Stars of Metro Detroit,10.0
80,80,446901,1.008178,2016-01-24,O Baú,10.0
81,18,432409,1.008358,2016-01-28,Ennui,10.0
82,18,426202,1.02853,2016-11-17,Drama,10.0
83,10402,431939,1.03222,2016-12-02,Franck Carducci Tearing The Tour Apart,10.0
84,16,428442,1.046024,2016-12-01,The Raven (by Edgar Allan Poe),10.0
