,genre1,genre2,genre3,genre4,genre5,ids,language,overview,popularity,poster_path,release_date,release_year,title,vote_average
0,16,35,18,10751,10402,335797,en,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,56.917533,/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg,2016-11-23,2016,Sing,6.8
1,28,18,878,0,0,330459,en,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,26.293151,/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,2016-12-14,2016,Rogue One: A Star Wars Story,7.3
2,35,18,10402,10749,0,313369,en,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",21.787982,/ylXCdC106IKiarftHkcacasaAcb.jpg,2016-11-29,2016,La La Land,7.9
3,53,18,878,9648,0,329865,en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",21.781708,/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,2016-11-10,2016,Arrival,6.9
4,18,35,0,0,0,382591,fr,A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.,19.939147,/muwaDIv5cLv2Z07CZFWOsL7lYuO.jpg,2016-12-07,2016,Tomorrow Everything Starts,7.6
5,12,18,10749,878,0,274870,en,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",17.485694,/5gJkVIVU7FDp7AfRAbPSvvdbre2.jpg,2016-12-21,2016,Passengers,6.6
6,18,14,12,0,0,283366,en,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,13.297812,/AvekzUdI8HZnImdQulmTTmAZXrC.jpg,2016-09-28,2016,Miss Peregrine's Home for Peculiar Children,6.4
7,18,36,10752,0,0,324786,en,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to win the Congressional Medal of Honor.",11.334637,/bndiUFfJxNd2fYx8XO610L9a07m.jpg,2016-10-07,2016,Hacksaw Ridge,7.5
8,12,18,0,0,0,334524,en,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.",11.213572,/d6AipVF4SDYqxGeivfs3yzsNUs7.jpg,2016-12-29,2016,Gold,6.6
9,18,10749,0,0,0,345920,en,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",9.685048,/9tFRalU3JmZHddgYVL0BypWRpbb.jpg,2016-12-06,2016,Collateral Beauty,6.7
10,18,0,0,0,0,334541,en,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",9.370566,/eCLpykDxtAQ0gnS5ERrTo7kP9k9.jpg,2016-11-18,2016,Manchester by the Sea,7.5
11,18,36,0,0,0,310307,en,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",9.28076,/fxvlzT7yyKiZneTDPwk85BSw1JF.jpg,2016-11-24,2016,The Founder,7.1
12,36,18,0,0,0,381284,en,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",8.901756,/6cbIDZLfwUTmttXTmNi8Mp3Rnmg.jpg,2016-12-10,2016,Hidden Figures,7.7
13,80,53,18,0,0,302946,en,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",8.606817,/afhAUuWVB7k7PjJUd4lwO3rzhSq.jpg,2016-10-14,2016,The Accountant,6.8
