,title,id,release_date,popularity,poster_path,genre1,genre2,genre3,genre4,genre5,
0,Sing,335797,11/23/2016,52.849585,/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg,16,35,18,10751,10402,
1,Split,381288,11/15/2016,31.706741,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,27,53,,,,
2,Fantastic Beasts and Where to Find Them,259316,11/16/2016,29.288592,/dXwbjYyZH1Se0IS3oVcPdvueLKd.jpg,28,12,14,,,
3,Rogue One: A Star Wars Story,330459,12/14/2016,27.319649,/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg,28,18,878,10752,,
4,Deadpool,293660,2/9/2016,26.911966,/inVq3FRqcYIRl2la8iZikYYxFNR.jpg,28,12,35,10749,,
5,Arrival,329865,11/10/2016,24.419754,/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,53,18,878,9648,,
6,Boyka: Undisputed IV,348893,9/22/2016,23.937588,/mWiqc87iTs1qujxm2Q0NRzGvWSN.jpg,28,,,,,
7,La La Land,313369,11/29/2016,22.647795,/ylXCdC106IKiarftHkcacasaAcb.jpg,35,18,10402,10749,,
8,Doctor Strange,284052,10/25/2016,21.525291,/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg,28,12,14,878,,
9,Tomorrow Everything Starts,382591,12/7/2016,18.380327,/muwaDIv5cLv2Z07CZFWOsL7lYuO.jpg,18,35,,,,
10,Captain America: Civil War,271110,4/27/2016,17.499524,/kSBXou5Ac7vEqKd97wotJumyJvU.jpg,12,28,878,,,
11,Finding Dory,127380,6/16/2016,15.527287,/z09QAf8WbZncbitewNk6lKYMZsh.jpg,12,16,35,10751,,
12,Collateral Beauty,345920,12/6/2016,14.330866,/9tFRalU3JmZHddgYVL0BypWRpbb.jpg,18,10749,,,,
13,X-Men: Apocalypse,246655,5/18/2016,13.910023,/zSouWWrySXshPCT4t3UKCQGayyo.jpg,28,12,14,878,,
14,Passengers,274870,12/21/2016,12.852363,/5gJkVIVU7FDp7AfRAbPSvvdbre2.jpg,12,18,10749,878,,
15,Why Him?,356305,12/22/2016,12.038857,/eezFoKz7bXgdbjeieeCYJFXPKSu.jpg,35,,,,,
16,Underworld: Blood Wars,346672,11/28/2016,11.715949,/nHXiMnWUAUba2LZ0dFkNDVdvJ1o.jpg,28,27,,,,
17,Suicide Squad,297761,8/2/2016,11.287056,/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg,28,80,14,878,,
18,Hacksaw Ridge,324786,10/7/2016,11.253515,/bndiUFfJxNd2fYx8XO610L9a07m.jpg,18,36,10752,,,
19,Assassin's Creed,121856,12/21/2016,10.678701,/tIKFBxBZhSXpIITiiB5Ws8VGXjt.jpg,28,12,14,878,,
20,The Founder,310307,11/24/2016,10.573995,/fxvlzT7yyKiZneTDPwk85BSw1JF.jpg,18,36,,,,
21,Zootopia,269149,2/11/2016,10.491169,/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg,16,12,10751,35,,
22,Batman v Superman: Dawn of Justice,209112,3/23/2016,10.381919,/cGOPbv9wA5gEejkUN892JrveARt.jpg,28,12,14,,,
23,Miss Peregrine's Home for Peculiar Children,283366,9/28/2016,10.235136,/AvekzUdI8HZnImdQulmTTmAZXrC.jpg,18,14,12,,,
24,Lion,334543,11/24/2016,9.201019,/dVrpKogkQCNgRjvWrXqW4ZGmPjB.jpg,18,,,,,
25,Manchester by the Sea,334541,11/18/2016,8.78873,/eCLpykDxtAQ0gnS5ERrTo7kP9k9.jpg,18,,,,,
26,Allied,369885,11/17/2016,8.65053,/nzXzLFTnd0Zb3ExfhOxlQgizgSu.jpg,28,18,10752,10749,53,
27,Gold,334524,12/29/2016,8.082828,/d6AipVF4SDYqxGeivfs3yzsNUs7.jpg,12,18,,,,
28,The Accountant,302946,10/14/2016,7.984522,/afhAUuWVB7k7PjJUd4lwO3rzhSq.jpg,80,53,18,,,
29,Hidden Figures,381284,12/10/2016,7.944066,/6cbIDZLfwUTmttXTmNi8Mp3Rnmg.jpg,36,18,,,,
30,Trolls,136799,10/13/2016,7.703141,/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg,12,16,10751,,,
31,The Great Wall,311324,12/16/2016,7.65211,/hm0Z5tpRlSzPO97U5e2Q32Y0Xrb.jpg,28,12,14,,,
32,Hell or High Water,338766,8/12/2016,7.4265,/6YOrNBdoXvT8aC5VPLkkN6t5z0V.jpg,37,80,18,,,
33,Nocturnal Animals,340666,11/4/2016,7.396523,/9Moizj8qxcZK6DqEE1MTO3pQAEw.jpg,18,53,,,,
34,Now You See Me 2,291805,6/2/2016,7.348248,/hU0E130tsGdsYa4K9lc3Xrn5Wyt.jpg,28,12,35,80,9648, 53]
35,Jack Reacher: Never Go Back,343611,10/19/2016,7.294802,/IfB9hy4JH1eH6HEfIgIGORXi5h.jpg,28,80,18,9648,53,
36,Ballerina,342473,12/14/2016,7.26342,/60ZhK1FstSkC9Ms8lRWaTPm55kD.jpg,12,16,35,10751,,
37,Inferno,207932,10/13/2016,7.166861,/oFOG2yIRcluKfTtYbzz71Vj9bgz.jpg,53,,,,,
38,Personal Shopper,340676,10/19/2016,7.039427,/jDOWYDmJvGkVkVHf7Ru66gy6ry8.jpg,18,9648,53,,,
39,Jason Bourne,324668,7/27/2016,7.002672,/aU1PY270BTBUXwAZhgRR2TMUX4u.jpg,28,53,,,,
40,Mine,345009,10/6/2016,6.986889,/8tF76AuOdlA0cCy8Wj1JljTgscr.jpg,53,10752,,,,
41,The Magnificent Seven,333484,9/14/2016,6.920889,/cparcxTFuHdlSOP3MJOpN7Ec9NB.jpg,12,28,37,,,
42,Alice Through the Looking Glass,241259,5/25/2016,6.899445,/7rfucKCjV01OEsGr9grXa34Aywd.jpg,14,,,,,
43,The Edge of Seventeen,376660,11/18/2016,6.72031,/gxK80WUwkQePpXpzRdpob0i7DD5.jpg,35,18,,,,
44,Allegiant,262504,3/9/2016,6.647478,/tSFBh9Ayn5uiwbUK9HvD2lrRgaQ.jpg,12,878,,,,
45,Monster Trucks,262841,12/26/2016,6.573793,/2Vr47xEcWIik5qnaNjSVCKx1REm.jpg,28,35,878,,,
46,The Nice Guys,290250,5/15/2016,6.331817,/2o0EvhUiUvzNbrZgbZvXBen9TcL.jpg,28,35,80,9648,53,
47,Deepwater Horizon,296524,9/29/2016,6.297336,/7D6hM7IR0TbQmNvSZVtEiPM3H5h.jpg,18,28,,,,
