,genre_ids,ids,popularity,release_date,release_year,title,vote_average
0,28,259316,38.768683,2016-11-16,2016,Fantastic Beasts and Where to Find Them,7.0
1,28,330459,35.04527,2016-12-14,2016,Rogue One: A Star Wars Story,7.3
2,28,293660,29.391851,2016-02-09,2016,Deadpool,7.3
3,28,271110,25.437082,2016-04-27,2016,Captain America: Civil War,6.9
4,28,284052,20.679415,2016-10-25,2016,Doctor Strange,6.9
5,28,348893,18.542953,2016-09-22,2016,Boyka: Undisputed IV,6.3
6,28,346672,16.327963,2016-11-28,2016,Underworld: Blood Wars,4.9
7,28,246655,14.361589,2016-05-18,2016,X-Men: Apocalypse,6.3
8,28,209112,12.567093,2016-03-23,2016,Batman v Superman: Dawn of Justice,5.6
9,28,121856,11.808123,2016-12-21,2016,Assassin's Creed,5.3
10,28,297761,8.912372,2016-08-02,2016,Suicide Squad,5.9
11,28,296524,8.256581,2016-09-29,2016,Deepwater Horizon,6.3
12,28,369885,7.980556,2016-11-17,2016,Allied,6.4
13,28,311324,7.091913,2016-12-16,2016,The Great Wall,5.8
14,28,291805,6.696639,2016-06-02,2016,Now You See Me 2,6.6
15,28,188927,6.643152,2016-07-07,2016,Star Trek Beyond,6.5
16,28,262841,6.508223,2016-12-26,2016,Monster Trucks,5.7
17,28,47933,6.442535,2016-06-22,2016,Independence Day: Resurgence,4.9
18,28,324668,6.312054,2016-07-27,2016,Jason Bourne,5.8
19,28,290250,6.292214,2016-05-15,2016,The Nice Guys,7.0
20,28,333484,6.148669,2016-09-14,2016,The Magnificent Seven,5.6
21,28,43074,6.129345,2016-07-14,2016,Ghostbusters,5.2
22,28,343611,5.618912,2016-10-19,2016,Jack Reacher: Never Go Back,5.1
23,28,278924,5.505866,2016-08-25,2016,Mechanic: Resurrection,5.2
24,28,286567,5.278337,2016-10-14,2016,Max Steel,5.2
25,28,302699,5.190939,2016-06-15,2016,Central Intelligence,6.1
26,28,290595,5.091753,2016-04-06,2016,The Huntsman: Winter's War,5.8
27,28,68735,4.801608,2016-05-25,2016,Warcraft,6.2
28,28,140300,4.677071,2016-01-23,2016,Kung Fu Panda 3,6.6
29,28,316727,4.181412,2016-06-29,2016,The Purge: Election Year,6.0
30,28,153518,3.86887,2016-05-11,2016,The Angry Birds Movie,5.8
31,28,308531,3.816263,2016-06-01,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,5.7
32,28,331313,3.710336,2016-10-20,2016,Keeping Up with the Joneses,5.9
33,28,413658,3.633048,2016-11-18,2016,The Warrior's Gate,5.7
34,28,396535,3.626065,2016-07-20,2016,Train to Busan,7.6
35,28,300671,3.557533,2016-01-13,2016,13 Hours: The Secret Soldiers of Benghazi,7.0
36,28,267860,3.497645,2016-03-02,2016,London Has Fallen,5.7
37,28,267193,3.3703,2016-02-24,2016,Grimsby,5.7
38,28,213681,3.334011,2016-09-29,2016,Masterminds,5.5
39,28,205584,3.262821,2016-02-25,2016,Gods of Egypt,5.2
40,28,302156,3.247258,2016-04-13,2016,Criminal,5.6
41,28,234004,3.186967,2016-04-13,2016,Ratchet & Clank,5.3
42,28,195590,3.018705,2016-08-04,2016,Collide,5.4
43,28,315011,3.016572,2016-07-29,2016,Shin Godzilla,6.2
44,28,359412,2.935903,2016-07-01,2016,Marauders,5.9
45,28,309886,2.89184,2016-08-11,2016,Blood Father,6.2
46,28,316152,2.753286,2016-06-24,2016,Free State of Jones,6.6
47,28,382322,2.713598,2016-07-21,2016,Batman: The Killing Joke,6.0
48,28,270774,2.691382,2016-07-21,2016,Skiptrace,5.6
49,28,333669,2.669937,2016-04-22,2016,Bastille Day,6.0
50,28,300673,2.650006,2016-01-25,2016,The Finest Hours,6.3
51,28,289269,2.578347,2016-11-11,2016,Lady Bloodfight,5.8
52,28,335778,2.560478,2016-02-19,2016,Risen,5.5
53,28,324670,2.548546,2016-12-09,2016,Spectral,6.3
54,28,323677,2.470631,2016-02-19,2016,Race,7.0
55,28,390734,2.442406,2016-07-09,2016,Kingsglaive: Final Fantasy XV,6.7
56,28,421313,2.421268,2016-12-01,2016,Eliminators,6.0
57,28,342521,2.421096,2016-04-21,2016,Keanu,6.1
58,28,396263,2.414569,2016-10-14,2016,Gantz:O,6.9
59,28,323675,2.39207,2016-01-14,2016,Ride Along 2,6.1
60,28,389053,2.371839,2016-05-27,2016,The Do-Over,5.6
61,28,374205,2.358897,2016-07-23,2016,One Piece Film: GOLD,7.1
62,28,379291,2.289281,2016-03-29,2016,Justice League vs. Teen Titans,6.7
63,28,364433,2.277852,2016-02-25,2016,They Call Me Jeeg Robot,7.6
64,28,263341,2.198713,2016-02-18,2016,"Crouching Tiger, Hidden Dragon: Sword of Destiny",5.9
65,28,423627,2.151543,2016-12-09,2016,Contract to Kill,5.0
66,28,340945,2.143571,2016-09-22,2016,USS Indianapolis: Men of Courage,5.6
67,28,384737,2.131367,2016-07-15,2016,Precious Cargo,4.9
68,28,174751,2.117001,2016-01-01,2016,Jane Got a Gun,5.2
69,28,406285,2.114821,2016-07-11,2016,The Last Starship,3.1
70,28,366924,2.10942,2016-03-22,2016,Batman: Bad Blood,6.6
71,28,391757,2.107131,2016-06-07,2016,Never Back Down: No Surrender,7.1
72,28,333385,2.095173,2016-02-29,2016,Mr. Right,6.3
73,28,396330,2.075675,2016-06-21,2016,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,7.0
74,28,339396,2.059353,2016-11-11,2016,True Memoirs of an International Assassin,5.7
75,28,381902,2.052627,2016-01-22,2016,The Monkey King 2,5.8
76,28,429450,2.031694,2016-12-07,2016,Pandora,6.8
77,28,291356,2.027168,2016-10-21,2016,In a Valley of Violence,5.5
78,28,308529,2.02559,2016-07-14,2016,Kickboxer: Vengeance,4.5
79,28,410988,2.022309,2016-10-14,2016,Stake Land II: The Stakelander,5.3
80,28,403605,1.995154,2016-09-24,2016,Headshot,7.3
81,28,399173,1.982648,2016-09-11,2016,The Assignment,5.3
82,28,393277,1.93479,2016-10-20,2016,Icebreaker,5.4
83,28,406429,1.902503,2016-07-28,2016,League of Gods,4.9
