,genre_ids,ids,popularity,release_date,release_year,title,vote_average
0,35,335797,67.964414,2016-11-23,2016,Sing,6.7
1,35,127380,30.778546,2016-06-16,2016,Finding Dory,6.7
2,35,293660,29.391851,2016-02-09,2016,Deadpool,7.3
3,35,382591,13.684098,2016-12-07,2016,Tomorrow Everything Starts,7.6
4,35,356305,11.851524,2016-12-22,2016,Why Him?,6.4
5,35,269149,11.709241,2016-02-11,2016,Zootopia,7.6
6,35,313369,8.557126,2016-09-12,2016,La La Land,7.9
7,35,223702,7.478204,2016-07-11,2016,Sausage Party,5.8
8,35,278154,7.178717,2016-06-23,2016,Ice Age: Collision Course,5.4
9,35,384682,6.907625,2016-11-25,2016,Office Christmas Party,5.3
10,35,291805,6.696639,2016-06-02,2016,Now You See Me 2,6.6
11,35,262841,6.508223,2016-12-26,2016,Monster Trucks,5.7
12,35,290250,6.292214,2016-05-15,2016,The Nice Guys,7.0
13,35,43074,6.129345,2016-07-14,2016,Ghostbusters,5.2
14,35,328111,6.057289,2016-06-18,2016,The Secret Life of Pets,5.8
15,35,376660,5.814007,2016-11-18,2016,The Edge of Seventeen,7.5
16,35,332210,5.368942,2016-09-22,2016,Storks,6.7
17,35,302699,5.190939,2016-06-15,2016,Central Intelligence,6.1
18,35,342473,5.117937,2016-12-14,2016,Ballerina,7.4
19,35,416252,4.817975,2016-11-25,2016,Mischievous Kiss The Movie: High School,1.0
20,35,140300,4.677071,2016-01-23,2016,Kung Fu Panda 3,6.6
21,35,334533,4.519141,2016-07-02,2016,Captain Fantastic,7.8
22,35,339397,4.185742,2016-05-11,2016,Café Society,6.4
23,35,325133,3.968191,2016-05-04,2016,Neighbors 2: Sorority Rising,5.5
24,35,153518,3.86887,2016-05-11,2016,The Angry Birds Movie,5.8
25,35,370755,3.864732,2016-11-17,2016,Paterson,7.2
26,35,308531,3.816263,2016-06-01,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,5.7
27,35,95610,3.75591,2016-09-14,2016,Bridget Jones's Baby,6.3
28,35,331313,3.710336,2016-10-20,2016,Keeping Up with the Joneses,5.9
29,35,338964,3.670988,2016-11-23,2016,Bad Santa 2,4.9
30,35,308266,3.622296,2016-08-17,2016,War Dogs,6.8
31,35,347031,3.620353,2016-06-24,2016,Swiss Army Man,6.9
32,35,270487,3.607462,2016-02-05,2016,"Hail, Caesar!",5.7
33,35,277834,3.468783,2016-11-23,2016,Moana,7.1
34,35,58431,3.450598,2016-02-04,2016,Pride and Prejudice and Zombies,5.4
35,35,376659,3.426769,2016-07-28,2016,Bad Moms,6.2
36,35,267193,3.3703,2016-02-24,2016,Grimsby,5.7
37,35,213681,3.334011,2016-09-29,2016,Masterminds,5.5
38,35,295699,3.301387,2016-03-30,2016,Everybody Wants Some!!,6.2
39,35,333663,3.281543,2016-10-07,2016,War on Everyone,5.7
40,35,316023,3.274295,2016-07-07,2016,Mike and Dave Need Wedding Dates,5.9
41,35,234004,3.186967,2016-04-13,2016,Ratchet & Clank,5.3
42,35,291870,3.086468,2016-01-21,2016,Dirty Grandpa,5.6
43,35,371645,3.055384,2016-03-31,2016,Hunt for the Wilderpeople,7.9
44,35,319888,2.940533,2016-02-26,2016,Eddie the Eagle,7.2
45,35,341012,2.785009,2016-06-03,2016,Popstar: Never Stop Never Stopping,6.6
