,genre_ids,ids,popularity,release_date,release_year,title,vote_average
0,18,335797,68.813123,2016-11-23,2016,Sing,6.7
1,18,330459,37.546966,2016-12-14,2016,Rogue One: A Star Wars Story,7.3
2,18,329865,24.55064,2016-11-10,2016,Arrival,6.9
3,18,382591,15.687451,2016-12-07,2016,Tomorrow Everything Starts,7.5
4,18,381284,12.846081,2016-12-10,2016,Hidden Figures,7.7
5,18,274870,12.03575,2016-12-21,2016,Passengers,6.5
6,18,346685,11.537726,2016-10-05,2016,The Girl on the Train,6.1
7,18,324786,11.208415,2016-10-07,2016,Hacksaw Ridge,7.4
8,18,334543,11.067972,2016-11-24,2016,Lion,7.9
9,18,372058,10.934845,2016-08-26,2016,Your Name.,8.4
10,18,283366,10.829151,2016-09-28,2016,Miss Peregrine's Home for Peculiar Children,6.4
11,18,310307,10.734106,2016-11-24,2016,The Founder,7.2
12,18,388399,9.857989,2016-12-12,2016,Patriots Day,6.7
13,18,296524,9.303346,2016-09-29,2016,Deepwater Horizon,6.3
14,18,343611,8.774025,2016-10-19,2016,Jack Reacher: Never Go Back,5.1
15,18,340666,8.713658,2016-11-04,2016,Nocturnal Animals,7.1
16,18,313369,8.348683,2016-09-12,2016,La La Land,7.9
17,18,302401,8.220467,2016-09-15,2016,Snowden,7.0
18,18,68730,7.973199,2016-12-22,2016,Silence,7.1
19,18,369885,7.822923,2016-11-17,2016,Allied,6.4
20,18,376660,6.800036,2016-11-18,2016,The Edge of Seventeen,7.5
21,18,376867,6.639067,2016-10-21,2016,Moonlight,7.4
22,18,278927,6.530063,2016-04-07,2016,The Jungle Book,6.6
23,18,258230,6.106026,2016-10-07,2016,A Monster Calls,6.5
24,18,302946,5.990324,2016-10-14,2016,The Accountant,6.8
25,18,345920,5.931356,2016-12-06,2016,Collateral Beauty,6.6
26,18,332567,5.407563,2016-06-24,2016,The Shallows,6.2
27,18,363676,5.376544,2016-09-07,2016,Sully,6.9
28,18,393457,5.283307,2016-12-16,2016,Fences,6.6
29,18,331583,5.092486,2016-03-25,2016,The Whole Truth,6.1
30,18,296096,4.742737,2016-06-02,2016,Me Before You,7.5
31,18,338766,4.707656,2016-08-12,2016,Hell or High Water,7.2
32,18,334541,4.703694,2016-11-18,2016,Manchester by the Sea,7.5
33,18,334533,4.686844,2016-07-02,2016,Captain Fantastic,7.8
34,18,370755,4.670873,2016-11-17,2016,Paterson,7.2
35,18,308266,4.256598,2016-08-17,2016,War Dogs,6.8
36,18,271969,4.234268,2016-08-17,2016,Ben-Hur,5.1
37,18,296523,4.107399,2016-12-02,2016,Man Down,6.1
38,18,259695,4.019235,2016-12-25,2016,Live by Night,6.0
39,18,337556,4.006249,2016-07-07,2016,Emerald Green,6.3
40,18,315011,3.99967,2016-07-29,2016,Shin Godzilla,6.2
41,18,347031,3.971335,2016-06-24,2016,Swiss Army Man,6.9
42,18,369557,3.961093,2016-03-11,2016,Sing Street,8.1
43,18,340676,3.951572,2016-10-19,2016,Personal Shopper,5.8
44,18,371645,3.931576,2016-03-31,2016,Hunt for the Wilderpeople,7.9
45,18,290098,3.905782,2016-06-01,2016,The Handmaiden,7.9
46,18,339397,3.821201,2016-05-11,2016,Café Society,6.4
47,18,319888,3.814711,2016-02-26,2016,Eddie the Eagle,7.2
48,18,290595,3.76317,2016-04-06,2016,The Huntsman: Winter's War,5.8
49,18,376866,3.753718,2016-12-02,2016,Jackie,6.6
50,18,337674,3.526783,2016-05-25,2016,Elle,6.5
51,18,340677,3.427643,2016-09-09,2016,I.T.,5.4
52,18,270010,3.401092,2016-04-22,2016,A Hologram for the King,5.8
53,18,270487,3.394052,2016-02-05,2016,"Hail, Caesar!",5.7
54,18,334524,3.328567,2016-12-29,2016,Gold,6.5
55,18,302156,3.198384,2016-04-13,2016,Criminal,5.6
56,18,305943,3.066488,2016-12-16,2016,A Kind of Murder,5.5
57,18,283552,2.973315,2016-09-02,2016,The Light Between Oceans,6.9
58,18,382322,2.939619,2016-07-21,2016,Batman: The Killing Joke,6.0
59,18,339984,2.88159,2016-03-17,2016,Miracles from Heaven,6.7
60,18,330333,2.847599,2016-01-06,2016,The Boss's Daughter,5.4
61,18,332979,2.845639,2016-11-04,2016,Bleed for This,6.7
62,18,393559,2.839368,2016-10-19,2016,My Life as a Zucchini,8.0
63,18,300671,2.833833,2016-01-13,2016,13 Hours: The Secret Soldiers of Benghazi,7.0
64,18,315664,2.740106,2016-03-29,2016,Florence Foster Jenkins,6.5
65,18,376290,2.706987,2016-11-25,2016,Miss Sloane,6.8
66,18,325789,2.69519,2016-07-13,2016,The Infiltrator,6.5
67,18,303991,2.610317,2016-04-06,2016,Demolition,6.7
68,18,339408,2.605882,2016-09-09,2016,The Birth of a Nation,6.5
69,18,425849,2.603189,2016-11-17,2016,2 Cool 2 Be 4gotten,0.0
70,18,374461,2.577546,2016-09-16,2016,Mr. Church,7.1
71,18,329981,2.565794,2016-11-11,2016,Shut In,4.5
72,18,371560,2.55265,2016-12-02,2016,The Eyes of My Mother,6.1
73,18,347026,2.526773,2016-11-25,2016,A United Kingdom,6.4
74,18,245703,2.507825,2016-02-18,2016,Midnight Special,6.2
75,18,291351,2.484123,2016-04-27,2016,The Sea of Trees,6.1
76,18,342737,2.4791,2016-12-25,2016,20th Century Women,7.6
77,18,375366,2.468847,2016-09-23,2016,The Girl with All the Gifts,6.4
78,18,375315,2.463496,2016-06-24,2016,The Salesman,7.2
79,18,340485,2.45727,2016-09-30,2016,American Honey,6.3
80,18,374473,2.45179,2016-10-21,2016,"I, Daniel Blake",7.8
81,18,335778,2.450611,2016-02-19,2016,Risen,5.5
82,18,316152,2.450075,2016-06-24,2016,Free State of Jones,6.6
83,18,390734,2.440409,2016-07-09,2016,Kingsglaive: Final Fantasy XV,6.7
84,18,323677,2.421331,2016-02-19,2016,Race,7.0
85,18,338964,2.405527,2016-11-23,2016,Bad Santa 2,4.9
86,18,318781,2.399296,2016-02-18,2016,Colonia,7.3
87,18,254302,2.396715,2016-03-18,2016,High-Rise,5.5
88,18,337703,2.393081,2016-06-29,2016,The Red Turtle,7.6
89,18,381341,2.367927,2016-02-11,2016,Perfect Strangers,7.8
90,18,374617,2.333025,2016-08-19,2016,Imperium,6.4
91,18,358364,2.324698,2016-04-07,2016,Split,0.0
92,18,348668,2.307415,2016-03-03,2016,A Conspiracy of Faith,6.9
93,18,300667,2.298056,2016-02-11,2016,3 Generations,6.3
94,18,317557,2.288181,2016-09-23,2016,Queen of Katwe,6.9
95,18,389868,2.270576,2016-08-17,2016,Seoul Station,5.4
96,18,420122,2.255294,2016-10-03,2016,Dismay,0.0
97,18,321666,2.250634,2016-07-15,2016,600 Miles,6.2
98,18,374475,2.247571,2016-07-14,2016,Toni Erdmann,7.5
99,18,310888,2.241482,2016-08-26,2016,Southside with You,5.6
100,18,293452,2.233802,2016-09-09,2016,The Disappointments Room,4.1
101,18,326285,2.218324,2016-10-20,2016,American Pastoral,5.9
102,18,338189,2.203528,2016-09-01,2016,It's Only the End of the World,7.3
103,18,330483,2.201086,2016-02-04,2016,The Choice,6.5
104,18,296360,2.18983,2016-05-27,2016,Love & Friendship,6.5
105,18,291328,2.178066,2016-11-23,2016,Rules Don't Apply,5.7
106,18,339419,2.165497,2016-11-04,2016,Loving,6.4
107,18,376501,2.160414,2016-01-25,2016,Outlaws and Angels,5.3
108,18,353069,2.140305,2016-04-28,2016,Mother's Day,5.6
109,18,404378,2.127116,2016-11-04,2016,A Street Cat Named Bob,7.6
110,18,413052,2.116836,2016-07-28,2016,Hacker,6.6
111,18,293767,2.114162,2016-11-10,2016,Billy Lynn's Long Halftime Walk,5.9
112,18,344041,2.099808,2016-01-04,2016,Standoff,5.8
113,18,390584,2.092476,2016-04-16,2016,King Cobra,5.9
114,18,340103,2.083185,2016-11-11,2016,The Monster,5.3
115,18,258363,2.080807,2016-04-13,2016,Desierto,6.0
116,18,300673,2.071412,2016-01-25,2016,The Finest Hours,6.3
117,18,393732,2.057241,2016-10-21,2016,Mean Dreams,7.0
118,18,334517,2.041082,2016-09-19,2016,The Siege of Jadotville,7.3
119,18,384737,2.040936,2016-07-15,2016,Precious Cargo,4.9
120,18,451158,2.03719,2016-12-02,2016,Anonymous,0.0
121,18,263341,2.032339,2016-02-18,2016,"Crouching Tiger, Hidden Dragon: Sword of Destiny",5.9
122,18,267192,2.030464,2016-06-10,2016,Genius,6.4
123,18,345918,2.026279,2016-11-11,2016,Come and Find Me,5.7
124,18,375868,1.995411,2016-12-02,2016,Villaviciosa de al lado,5.2
125,18,380075,1.964989,2016-09-29,2016,Fog in August,8.5
126,18,312669,1.956098,2016-04-27,2016,Maggie's Plan,5.9
127,18,403605,1.940001,2016-09-24,2016,Headshot,7.3
128,18,340481,1.921988,2016-10-05,2016,The Unknown Girl,6.0
129,18,301804,1.919593,2016-04-07,2016,Before I Wake,6.1
130,18,334532,1.913483,2016-11-11,2016,100 Streets,6.1
