,title,id,release_date,popularity,genre_ids
0,Sing,335797,2016-11-23,76.005907,"[16, 35, 18, 10751, 10402]"
1,Fantastic Beasts and Where to Find Them,259316,2016-11-16,39.239379,"[12, 28, 14]"
2,Finding Dory,127380,2016-06-16,31.769363,"[12, 16, 35, 10751]"
3,Deadpool,293660,2016-02-09,26.382598,"[28, 12, 35, 10749]"
4,Rogue One: A Star Wars Story,330459,2016-12-14,25.082126,"[28, 18, 878, 10752]"
5,Doctor Strange,284052,2016-10-25,23.441433,"[28, 12, 14, 878]"
6,Arrival,329865,2016-11-10,22.476241,"[18, 878]"
7,Captain America: Civil War,271110,2016-04-27,21.467025,"[28, 878]"
8,Underworld: Blood Wars,346672,2016-11-28,20.082001,"[28, 27]"
9,Lion,334543,2016-11-24,15.298543,[18]
10,Zootopia,269149,2016-02-11,13.51924,"[16, 12, 10751, 35]"
11,Hidden Figures,381284,2016-12-10,13.260593,"[36, 18]"
12,Hacksaw Ridge,324786,2016-10-07,13.071857,"[18, 36, 10752]"
13,Why Him?,356305,2016-12-22,13.056849,[35]
14,Passengers,274870,2016-12-21,12.708578,"[12, 18, 10749, 878]"
15,X-Men: Apocalypse,246655,2016-05-18,12.481161,"[28, 12, 14, 878]"
16,Assassin's Creed,121856,2016-12-21,12.217911,"[28, 12, 14, 878]"
17,Batman v Superman: Dawn of Justice,209112,2016-03-23,11.854696,"[28, 12, 14]"
18,Miss Peregrine's Home for Peculiar Children,283366,2016-09-28,11.532876,"[18, 14, 12]"
19,Deepwater Horizon,296524,2016-09-29,9.775551,[28]
20,Patriots Day,388399,2016-12-12,9.235114,"[18, 36, 53]"
21,Jack Reacher: Never Go Back,343611,2016-10-19,9.157106,"[28, 80, 18, 9648, 53]"
22,Allied,369885,2016-11-17,8.340628,"[28, 10752, 18, 10749, 53]"
23,The Girl on the Train,346685,2016-10-05,8.302534,"[18, 10749, 53]"
24,Snowden,302401,2016-09-15,8.200014,"[18, 53]"
25,The Great Wall,311324,2016-12-16,8.197965,"[28, 12, 14, 53]"
26,Ghostbusters,43074,2016-07-14,8.162511,"[28, 14]"
27,Suicide Squad,297761,2016-08-02,8.09839,"[28, 80, 14, 878]"
28,The Accountant,302946,2016-10-14,8.089724,"[80, 53, 18]"
29,Tomorrow Everything Starts,382591,2016-12-07,7.86039,"[18, 35]"
30,The Magnificent Seven,333484,2016-09-14,7.735644,"[12, 28, 37]"
31,La La Land,313369,2016-09-12,7.641181,"[35, 18, 10402, 10749]"
32,Moonlight,376867,2016-10-21,7.422427,[18]
33,Inferno,207932,2016-10-13,7.107216,[53]
34,Me Before You,296096,2016-06-02,7.034724,"[18, 10749]"
35,Nocturnal Animals,340666,2016-11-04,6.991897,"[18, 53]"
36,Office Christmas Party,384682,2016-11-25,6.784933,[35]
37,Now You See Me 2,291805,2016-06-02,6.782695,"[28, 12, 35, 80, 9648, 53]"
38,Kung Fu Panda 3,140300,2016-01-23,6.458865,"[28, 12, 16, 35, 10751]"
39,Star Trek Beyond,188927,2016-07-07,6.439732,"[28, 12, 878, 53]"
40,Trolls,136799,2016-10-13,6.400074,"[12, 16, 10751]"
41,The Jungle Book,278927,2016-04-07,6.150889,"[12, 18, 14]"
